Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.ra.json	12547	-	0	0	0	0	0	0	19	115	0	0	0	0	0	0	0	1	0	0	116	69	0	0	0	6	0	1
fsh-generated/resources/ActorDefinition-ClientRegistry.json	842	17	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	21	45	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-FacilityRegistry.json	448	11	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	24	35	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthManagementInformationSystem.json	488	14	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	20	20	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-HealthWorkerRegistry.json	887	10	0	0	1	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	32	28	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-InteroperabilityLayer.json	931	10	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	21	29	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-LogisticsManagementInformationSystem.json	507	12	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-PointOfServiceSystem.json	472	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	32	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SharedHealthRecord.json	458	6	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TerminologyService.json	463	6	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	21	23	0	0	0	2	0	0
