Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.ra.json	13805	-	0	0	0	0	0	0	14	120	0	0	0	0	0	0	0	1	0	0	98	87	0	0	0	5	0	1
fsh-generated/resources/ActorDefinition-ClientRegistry.json	842	8	0	0	1	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	28	32	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-FacilityRegistry.json	448	5	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-HealthManagementInformationSystem.json	488	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	22	34	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-HealthWorkerRegistry.json	887	5	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	20	35	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-InteroperabilityLayer.json	466	6	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	23	22	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-LogisticsManagementInformationSystem.json	507	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	26	27	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-PointOfServiceSystem.json	472	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	25	20	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SharedHealthRecord.json	458	5	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	18	21	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TerminologyService.json	463	6	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17	20	0	0	0	0	0	0
